Date의 연도,Missile Name,Missile Family,Launches
1998,Hwasong-14,,
1997,Hwasong-14,,
1996,Hwasong-14,,
1995,Hwasong-14,,
1994,Hwasong-14,,
1993,Hwasong-14,,
1992,Hwasong-14,,
1991,Hwasong-14,,
1990,Hwasong-14,,
1989,Hwasong-14,,
1988,Hwasong-14,,
1987,Hwasong-14,,
1986,Hwasong-14,,
1985,Hwasong-14,,
1984,Hwasong-14,,
2024,Hwasong-12B,,
2023,Hwasong-12B,,
2022,Hwasong-12B,,
2021,Hwasong-12B,Medium Range Ballistic Missile,1
2020,Hwasong-12B,,
2019,Hwasong-12B,,
2018,Hwasong-12B,,
2017,Hwasong-12B,,
2016,Hwasong-12B,,
2015,Hwasong-12B,,
2014,Hwasong-12B,,
2013,Hwasong-12B,,
2012,Hwasong-12B,,
2011,Hwasong-12B,,
2010,Hwasong-12B,,
2009,Hwasong-12B,,
2008,Hwasong-12B,,
2007,Hwasong-12B,,
2006,Hwasong-12B,,
2005,Hwasong-12B,,
2004,Hwasong-12B,,
2003,Hwasong-12B,,
2002,Hwasong-12B,,
2001,Hwasong-12B,,
2000,Hwasong-12B,,
1999,Hwasong-12B,,
1998,Hwasong-12B,,
1997,Hwasong-12B,,
1996,Hwasong-12B,,
1995,Hwasong-12B,,
1994,Hwasong-12B,,
1993,Hwasong-12B,,
1992,Hwasong-12B,,
1991,Hwasong-12B,,
1990,Hwasong-12B,,
1989,Hwasong-12B,,
1988,Hwasong-12B,,
1987,Hwasong-12B,,
1986,Hwasong-12B,,
1985,Hwasong-12B,,
1984,Hwasong-12B,,
2024,Hwasong-12A?,,
2023,Hwasong-12A?,,
2022,Hwasong-12A?,Medium Range Ballistic Missile,2
2021,Hwasong-12A?,,
2020,Hwasong-12A?,,
2019,Hwasong-12A?,,
2018,Hwasong-12A?,,
2017,Hwasong-12A?,,
2016,Hwasong-12A?,,
2015,Hwasong-12A?,,
2014,Hwasong-12A?,,
2013,Hwasong-12A?,,
2012,Hwasong-12A?,,
2011,Hwasong-12A?,,
2010,Hwasong-12A?,,
2009,Hwasong-12A?,,
2008,Hwasong-12A?,,
2007,Hwasong-12A?,,
2006,Hwasong-12A?,,
2005,Hwasong-12A?,,
2004,Hwasong-12A?,,
2003,Hwasong-12A?,,
2002,Hwasong-12A?,,
2001,Hwasong-12A?,,
2000,Hwasong-12A?,,
1999,Hwasong-12A?,,
1998,Hwasong-12A?,,
1997,Hwasong-12A?,,
1996,Hwasong-12A?,,
1995,Hwasong-12A?,,
1994,Hwasong-12A?,,
1993,Hwasong-12A?,,
1992,Hwasong-12A?,,
1991,Hwasong-12A?,,
1990,Hwasong-12A?,,
1989,Hwasong-12A?,,
1988,Hwasong-12A?,,
1987,Hwasong-12A?,,
1986,Hwasong-12A?,,
1985,Hwasong-12A?,,
1984,Hwasong-12A?,,
2024,Hwasong-12,,
2023,Hwasong-12,,
2022,Hwasong-12,Intermediate Range Ballistic Missile,1
2021,Hwasong-12,,
2020,Hwasong-12,,
2019,Hwasong-12,,
2018,Hwasong-12,,
2017,Hwasong-12,Intermediate Range Ballistic Missile,6
2016,Hwasong-12,,
2015,Hwasong-12,,
2014,Hwasong-12,,
2013,Hwasong-12,,
2012,Hwasong-12,,
2011,Hwasong-12,,
2010,Hwasong-12,,
2009,Hwasong-12,,
2008,Hwasong-12,,
2007,Hwasong-12,,
2006,Hwasong-12,,
2005,Hwasong-12,,
2004,Hwasong-12,,
2003,Hwasong-12,,
2002,Hwasong-12,,
2001,Hwasong-12,,
2000,Hwasong-12,,
1999,Hwasong-12,,
1998,Hwasong-12,,
1997,Hwasong-12,,
1996,Hwasong-12,,
1995,Hwasong-12,,
1994,Hwasong-12,,
1993,Hwasong-12,,
1992,Hwasong-12,,
1991,Hwasong-12,,
1990,Hwasong-12,,
1989,Hwasong-12,,
1988,Hwasong-12,,
1987,Hwasong-12,,
1986,Hwasong-12,,
1985,Hwasong-12,,
1984,Hwasong-12,,
2024,Hwasong-11S (Navalized KN-23),,
2023,Hwasong-11S (Navalized KN-23),,
2022,Hwasong-11S (Navalized KN-23),Short Range Ballistic Missile,1
2021,Hwasong-11S (Navalized KN-23),Sub-Launched Ballistic Missile,1
2020,Hwasong-11S (Navalized KN-23),,
2019,Hwasong-11S (Navalized KN-23),,
2018,Hwasong-11S (Navalized KN-23),,
2017,Hwasong-11S (Navalized KN-23),,
2016,Hwasong-11S (Navalized KN-23),,
2015,Hwasong-11S (Navalized KN-23),,
2014,Hwasong-11S (Navalized KN-23),,
2013,Hwasong-11S (Navalized KN-23),,
2012,Hwasong-11S (Navalized KN-23),,
2011,Hwasong-11S (Navalized KN-23),,
2010,Hwasong-11S (Navalized KN-23),,
2009,Hwasong-11S (Navalized KN-23),,
2008,Hwasong-11S (Navalized KN-23),,
2007,Hwasong-11S (Navalized KN-23),,
2006,Hwasong-11S (Navalized KN-23),,
2005,Hwasong-11S (Navalized KN-23),,
2004,Hwasong-11S (Navalized KN-23),,
2003,Hwasong-11S (Navalized KN-23),,
2002,Hwasong-11S (Navalized KN-23),,
2001,Hwasong-11S (Navalized KN-23),,
2000,Hwasong-11S (Navalized KN-23),,
1999,Hwasong-11S (Navalized KN-23),,
1998,Hwasong-11S (Navalized KN-23),,
1997,Hwasong-11S (Navalized KN-23),,
1996,Hwasong-11S (Navalized KN-23),,
1995,Hwasong-11S (Navalized KN-23),,
1994,Hwasong-11S (Navalized KN-23),,
1993,Hwasong-11S (Navalized KN-23),,
1992,Hwasong-11S (Navalized KN-23),,
1991,Hwasong-11S (Navalized KN-23),,
1990,Hwasong-11S (Navalized KN-23),,
1989,Hwasong-11S (Navalized KN-23),,
1988,Hwasong-11S (Navalized KN-23),,
1987,Hwasong-11S (Navalized KN-23),,
1986,Hwasong-11S (Navalized KN-23),,
1985,Hwasong-11S (Navalized KN-23),,
1984,Hwasong-11S (Navalized KN-23),,
2024,Hwasong-11D,,
2023,Hwasong-11D,Short Range Ballistic Missile,6
2022,Hwasong-11D,Short Range Ballistic Missile,2
2021,Hwasong-11D,,
2020,Hwasong-11D,,
2019,Hwasong-11D,,
2018,Hwasong-11D,,
2017,Hwasong-11D,,
2016,Hwasong-11D,,
2015,Hwasong-11D,,
2014,Hwasong-11D,,
2013,Hwasong-11D,,
2012,Hwasong-11D,,
2011,Hwasong-11D,,
2010,Hwasong-11D,,
2009,Hwasong-11D,,
2008,Hwasong-11D,,
2007,Hwasong-11D,,
2006,Hwasong-11D,,
2005,Hwasong-11D,,
2004,Hwasong-11D,,
2003,Hwasong-11D,,
2002,Hwasong-11D,,
2001,Hwasong-11D,,
2000,Hwasong-11D,,
1999,Hwasong-11D,,
1998,Hwasong-11D,,
1997,Hwasong-11D,,
1996,Hwasong-11D,,
1995,Hwasong-11D,,
1994,Hwasong-11D,,
1993,Hwasong-11D,,
1992,Hwasong-11D,,
1991,Hwasong-11D,,
1990,Hwasong-11D,,
1989,Hwasong-11D,,
1988,Hwasong-11D,,
1987,Hwasong-11D,,
1986,Hwasong-11D,,
1985,Hwasong-11D,,
1984,Hwasong-11D,,
2024,Hwasong-11C,,
2023,Hwasong-11C,,
2022,Hwasong-11C,Short Range Ballistic Missile,2
2021,Hwasong-11C,Short Range Ballistic Missile,2
2020,Hwasong-11C,,
2019,Hwasong-11C,,
2018,Hwasong-11C,,
2017,Hwasong-11C,,
2016,Hwasong-11C,,
2015,Hwasong-11C,,
2014,Hwasong-11C,,
2013,Hwasong-11C,,
2012,Hwasong-11C,,
2011,Hwasong-11C,,
2010,Hwasong-11C,,
2009,Hwasong-11C,,
2008,Hwasong-11C,,
2007,Hwasong-11C,,
2006,Hwasong-11C,,
2005,Hwasong-11C,,
2004,Hwasong-11C,,
2003,Hwasong-11C,,
2002,Hwasong-11C,,
2001,Hwasong-11C,,
2000,Hwasong-11C,,
1999,Hwasong-11C,,
1998,Hwasong-11C,,
1997,Hwasong-11C,,
1996,Hwasong-11C,,
1995,Hwasong-11C,,
1994,Hwasong-11C,,
1993,Hwasong-11C,,
1992,Hwasong-11C,,
1991,Hwasong-11C,,
1990,Hwasong-11C,,
1989,Hwasong-11C,,
1988,Hwasong-11C,,
1987,Hwasong-11C,,
1986,Hwasong-11C,,
1985,Hwasong-11C,,
1984,Hwasong-11C,,
2024,Hwasong-11B (KN-24),,
2023,Hwasong-11B (KN-24),Short Range Ballistic Missile,2
2022,Hwasong-11B (KN-24),Short Range Ballistic Missile,2
2021,Hwasong-11B (KN-24),,
2020,Hwasong-11B (KN-24),Short Range Ballistic Missile,2
2019,Hwasong-11B (KN-24),Short Range Ballistic Missile,4
2018,Hwasong-11B (KN-24),,
2017,Hwasong-11B (KN-24),,
2016,Hwasong-11B (KN-24),,
2015,Hwasong-11B (KN-24),,
2014,Hwasong-11B (KN-24),,
2013,Hwasong-11B (KN-24),,
2012,Hwasong-11B (KN-24),,
2011,Hwasong-11B (KN-24),,
2010,Hwasong-11B (KN-24),,
2009,Hwasong-11B (KN-24),,
2008,Hwasong-11B (KN-24),,
2007,Hwasong-11B (KN-24),,
2006,Hwasong-11B (KN-24),,
2005,Hwasong-11B (KN-24),,
2004,Hwasong-11B (KN-24),,
2003,Hwasong-11B (KN-24),,
2002,Hwasong-11B (KN-24),,
2001,Hwasong-11B (KN-24),,
2000,Hwasong-11B (KN-24),,
1999,Hwasong-11B (KN-24),,
1998,Hwasong-11B (KN-24),,
1997,Hwasong-11B (KN-24),,
1996,Hwasong-11B (KN-24),,
1995,Hwasong-11B (KN-24),,
1994,Hwasong-11B (KN-24),,
1993,Hwasong-11B (KN-24),,
1992,Hwasong-11B (KN-24),,
1991,Hwasong-11B (KN-24),,
1990,Hwasong-11B (KN-24),,
1989,Hwasong-11B (KN-24),,
1988,Hwasong-11B (KN-24),,
1987,Hwasong-11B (KN-24),,
1986,Hwasong-11B (KN-24),,
1985,Hwasong-11B (KN-24),,
1984,Hwasong-11B (KN-24),,
2024,Hwasong-11A (KN-23),,
2023,Hwasong-11A (KN-23),Short Range Ballistic Missile,4
2022,Hwasong-11A (KN-23),Short Range Ballistic Missile,4
2021,Hwasong-11A (KN-23),,
2020,Hwasong-11A (KN-23),,
2019,Hwasong-11A (KN-23),Short Range Ballistic Missile,8
2018,Hwasong-11A (KN-23),,
2017,Hwasong-11A (KN-23),,
2016,Hwasong-11A (KN-23),,
2015,Hwasong-11A (KN-23),,
2014,Hwasong-11A (KN-23),,
2013,Hwasong-11A (KN-23),,
2012,Hwasong-11A (KN-23),,
2011,Hwasong-11A (KN-23),,
2010,Hwasong-11A (KN-23),,
2009,Hwasong-11A (KN-23),,
2008,Hwasong-11A (KN-23),,
2007,Hwasong-11A (KN-23),,
2006,Hwasong-11A (KN-23),,
2005,Hwasong-11A (KN-23),,
2004,Hwasong-11A (KN-23),,
2003,Hwasong-11A (KN-23),,
2002,Hwasong-11A (KN-23),,
2001,Hwasong-11A (KN-23),,
2000,Hwasong-11A (KN-23),,
1999,Hwasong-11A (KN-23),,
1998,Hwasong-11A (KN-23),,
1997,Hwasong-11A (KN-23),,
1996,Hwasong-11A (KN-23),,
1995,Hwasong-11A (KN-23),,
1994,Hwasong-11A (KN-23),,
1993,Hwasong-11A (KN-23),,
1992,Hwasong-11A (KN-23),,
1991,Hwasong-11A (KN-23),,
1990,Hwasong-11A (KN-23),,
1989,Hwasong-11A (KN-23),,
1988,Hwasong-11A (KN-23),,
1987,Hwasong-11A (KN-23),,
1986,Hwasong-11A (KN-23),,
1985,Hwasong-11A (KN-23),,
1984,Hwasong-11A (KN-23),,
2024,Hwasong-11-Da-4.5,Short Range Ballistic Missile,3
2023,Hwasong-11-Da-4.5,,
2022,Hwasong-11-Da-4.5,,
2021,Hwasong-11-Da-4.5,,
2020,Hwasong-11-Da-4.5,,
2019,Hwasong-11-Da-4.5,,
2018,Hwasong-11-Da-4.5,,
2017,Hwasong-11-Da-4.5,,
2016,Hwasong-11-Da-4.5,,
2015,Hwasong-11-Da-4.5,,
2014,Hwasong-11-Da-4.5,,
2013,Hwasong-11-Da-4.5,,
2012,Hwasong-11-Da-4.5,,
2011,Hwasong-11-Da-4.5,,
2010,Hwasong-11-Da-4.5,,
2009,Hwasong-11-Da-4.5,,
2008,Hwasong-11-Da-4.5,,
2007,Hwasong-11-Da-4.5,,
2006,Hwasong-11-Da-4.5,,
2005,Hwasong-11-Da-4.5,,
2004,Hwasong-11-Da-4.5,,
2003,Hwasong-11-Da-4.5,,
2002,Hwasong-11-Da-4.5,,
2001,Hwasong-11-Da-4.5,,
2000,Hwasong-11-Da-4.5,,
1999,Hwasong-11-Da-4.5,,
1998,Hwasong-11-Da-4.5,,
1997,Hwasong-11-Da-4.5,,
1996,Hwasong-11-Da-4.5,,
1995,Hwasong-11-Da-4.5,,
1994,Hwasong-11-Da-4.5,,
1993,Hwasong-11-Da-4.5,,
1992,Hwasong-11-Da-4.5,,
1991,Hwasong-11-Da-4.5,,
1990,Hwasong-11-Da-4.5,,
1989,Hwasong-11-Da-4.5,,
1988,Hwasong-11-Da-4.5,,
1987,Hwasong-11-Da-4.5,,
1986,Hwasong-11-Da-4.5,,
1985,Hwasong-11-Da-4.5,,
1984,Hwasong-11-Da-4.5,,
2024,ER Scud,,
2023,ER Scud,,
2022,ER Scud,,
2021,ER Scud,,
2020,ER Scud,,
2019,ER Scud,,
2018,ER Scud,,
2017,ER Scud,Medium Range Ballistic Missile,5
2016,ER Scud,Medium Range Ballistic Missile,3
2015,ER Scud,,
2014,ER Scud,,
2013,ER Scud,,
2012,ER Scud,,
2011,ER Scud,,
2010,ER Scud,,
2009,ER Scud,,
2008,ER Scud,,
2007,ER Scud,,
2006,ER Scud,,
2005,ER Scud,,
2004,ER Scud,,
2003,ER Scud,,
2002,ER Scud,,
2001,ER Scud,,
2000,ER Scud,,
1999,ER Scud,,
1998,ER Scud,,
1997,ER Scud,,
1996,ER Scud,,
1995,ER Scud,,
1994,ER Scud,,
1993,ER Scud,,
1992,ER Scud,,
1991,ER Scud,,
1990,ER Scud,,
1989,ER Scud,,
1988,ER Scud,,
1987,ER Scud,,
1986,ER Scud,,
1985,ER Scud,,
1984,ER Scud,,
2024,Chollima-1,,
2023,Chollima-1,Space Launch Vehicle,3
2022,Chollima-1,,
2021,Chollima-1,,
2020,Chollima-1,,
2019,Chollima-1,,
2018,Chollima-1,,
2017,Chollima-1,,
2016,Chollima-1,,
2015,Chollima-1,,
2014,Chollima-1,,
2013,Chollima-1,,
2012,Chollima-1,,
2011,Chollima-1,,
2010,Chollima-1,,
2009,Chollima-1,,
2008,Chollima-1,,
2007,Chollima-1,,
2006,Chollima-1,,
2005,Chollima-1,,
2004,Chollima-1,,
2003,Chollima-1,,
2002,Chollima-1,,
2001,Chollima-1,,
2000,Chollima-1,,
1999,Chollima-1,,
1998,Chollima-1,,
1997,Chollima-1,,
1996,Chollima-1,,
1995,Chollima-1,,
1994,Chollima-1,,
1993,Chollima-1,,
1992,Chollima-1,,
1991,Chollima-1,,
1990,Chollima-1,,
1989,Chollima-1,,
1988,Chollima-1,,
1987,Chollima-1,,
1986,Chollima-1,,
1985,Chollima-1,,
1984,Chollima-1,,
