Date의 연도,Missile Name,Missile Family,Launches
2004,Scud-C MaRV,,
2003,Scud-C MaRV,,
2002,Scud-C MaRV,,
2001,Scud-C MaRV,,
2000,Scud-C MaRV,,
1999,Scud-C MaRV,,
1998,Scud-C MaRV,,
1997,Scud-C MaRV,,
1996,Scud-C MaRV,,
1995,Scud-C MaRV,,
1994,Scud-C MaRV,,
1993,Scud-C MaRV,,
1992,Scud-C MaRV,,
1991,Scud-C MaRV,,
1990,Scud-C MaRV,,
1989,Scud-C MaRV,,
1988,Scud-C MaRV,,
1987,Scud-C MaRV,,
1986,Scud-C MaRV,,
1985,Scud-C MaRV,,
1984,Scud-C MaRV,,
2024,Scud-C,,
2023,Scud-C,,
2022,Scud-C,,
2021,Scud-C,,
2020,Scud-C,,
2019,Scud-C,,
2018,Scud-C,,
2017,Scud-C,,
2016,Scud-C,Short Range Ballistic Missile,4
2015,Scud-C,Short Range Ballistic Missile,2
2014,Scud-C,Short Range Ballistic Missile,9
2013,Scud-C,,
2012,Scud-C,,
2011,Scud-C,,
2010,Scud-C,,
2009,Scud-C,Short Range Ballistic Missile,5
2008,Scud-C,,
2007,Scud-C,,
2006,Scud-C,Short Range Ballistic Missile,2
2005,Scud-C,,
2004,Scud-C,,
2003,Scud-C,,
2002,Scud-C,,
2001,Scud-C,,
2000,Scud-C,,
1999,Scud-C,,
1998,Scud-C,,
1997,Scud-C,,
1996,Scud-C,,
1995,Scud-C,,
1994,Scud-C,,
1993,Scud-C,Short Range Ballistic Missile,3
1992,Scud-C,,
1991,Scud-C,Short Range Ballistic Missile,1
1990,Scud-C,Short Range Ballistic Missile,1
1989,Scud-C,,
1988,Scud-C,,
1987,Scud-C,,
1986,Scud-C,,
1985,Scud-C,,
1984,Scud-C,,
2024,Scud-B MaRV,,
2023,Scud-B MaRV,,
2022,Scud-B MaRV,,
2021,Scud-B MaRV,,
2020,Scud-B MaRV,,
2019,Scud-B MaRV,,
2018,Scud-B MaRV,,
2017,Scud-B MaRV,Short Range Ballistic Missile,3
2016,Scud-B MaRV,,
2015,Scud-B MaRV,,
2014,Scud-B MaRV,,
2013,Scud-B MaRV,,
2012,Scud-B MaRV,,
2011,Scud-B MaRV,,
2010,Scud-B MaRV,,
2009,Scud-B MaRV,,
2008,Scud-B MaRV,,
2007,Scud-B MaRV,,
2006,Scud-B MaRV,,
2005,Scud-B MaRV,,
2004,Scud-B MaRV,,
2003,Scud-B MaRV,,
2002,Scud-B MaRV,,
2001,Scud-B MaRV,,
2000,Scud-B MaRV,,
1999,Scud-B MaRV,,
1998,Scud-B MaRV,,
1997,Scud-B MaRV,,
1996,Scud-B MaRV,,
1995,Scud-B MaRV,,
1994,Scud-B MaRV,,
1993,Scud-B MaRV,,
1992,Scud-B MaRV,,
1991,Scud-B MaRV,,
1990,Scud-B MaRV,,
1989,Scud-B MaRV,,
1988,Scud-B MaRV,,
1987,Scud-B MaRV,,
1986,Scud-B MaRV,,
1985,Scud-B MaRV,,
